"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Suspended Solids (mg/L)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Ammonia Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","Total Inorganic Nitrogen (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Turbidity (NTU)","pH","Temperature (°C)","Salinity (psu)"
"Eastern Buffer","EM1","1987-10-09","1","Surface Water","0.9","2.5","0.14","1.17","0.27","0.047","0.34","72","4.8","14000","8.5","7.8","27.5","32.4"
"Eastern Buffer","EM1","1987-10-09","1","Middle Water","0.9","4","0.13","1.17","0.3","0.051","0.37","71","4.7","N/A","11","7.8","27.4","32.5"
"Eastern Buffer","EM1","1987-10-09","1","Bottom Water","1","9","0.11","0.87","0.27","0.063","0.36","69","4.6","19000","8.2","7.7","27.4","32.6"
"Eastern Buffer","EM1","1987-11-05","1","Surface Water","0.7","5.5","0.07","0.66","0.15","0.033","0.23","72","5","7300","9.5","8.1","24.7","33.4"
"Eastern Buffer","EM1","1987-11-05","1","Middle Water","0.6","7","0.07","0.77","0.19","0.033","0.27","73","5","N/A","10.5","8.1","24.7","33.4"
"Eastern Buffer","EM1","1987-11-05","1","Bottom Water","0.7","7.5","0.07","0.65","0.19","0.03","0.26","76","5.2","6100","10","8.1","24.7","33.4"
"Eastern Buffer","EM1","1987-12-07","1","Surface Water","0.2","3","0.02","0.46","0.02","0.02","0.1","80","6.2","960","4.1","8.2","18","33"
"Eastern Buffer","EM1","1987-12-07","1","Middle Water","0.4","5","0.06","0.52","0.031","0.03","0.11","79","6.2","N/A","5.5","8.3","17.9","33"
"Eastern Buffer","EM1","1987-12-07","1","Bottom Water","0.1","7","0.03","0.41","0.039","0.02","0.11","83","6.5","950","6.1","8.2","17.8","33"
"Eastern Buffer","EM1","1988-01-07","1","Surface Water","0.9","5","0.09","1.01","0.2","0.04","0.31","82","6.5","370","3.9","8.1","18","31.4"
"Eastern Buffer","EM1","1988-01-07","1","Middle Water","0.8","5.5","0.06","0.78","0.16","0.034","0.27","83","6.6","N/A","3.5","8.2","17.7","31.5"
"Eastern Buffer","EM1","1988-01-07","1","Bottom Water","0.6","6.5","0.06","0.68","0.12","0.025","0.22","87","6.8","300","3.1","8.2","17.7","31.6"
"Eastern Buffer","EM1","1988-02-08","1","Surface Water","0.6","3.5","0.05","0.52","0.074","0.02","0.15","84","6.7","1500","4.6","8.1","17.6","32.9"
"Eastern Buffer","EM1","1988-02-08","1","Middle Water","0.9","7.5","0.05","0.46","0.061","0.02","0.14","86","6.8","560","6.3","8.1","17.6","32.9"
"Eastern Buffer","EM1","1988-02-08","1","Bottom Water","0.6","4.5","0.03","0.43","0.076","0.03","0.15","87","6.8","1000","3.8","8","17.6","32.9"
"Eastern Buffer","EM1","1988-03-07","1","Surface Water","0.7","7.5","0.12","0.68","0.14","0.028","0.24","68","5.6","1500","3.1","8","15","31.9"
"Eastern Buffer","EM1","1988-03-07","1","Middle Water","0.7","7","0.17","0.77","0.12","0.026","0.23","69","5.7","2100","1.4","8","14.9","32"
"Eastern Buffer","EM1","1988-03-07","1","Bottom Water","0.7","19","0.08","0.73","0.1","0.025","0.2","70","5.8","900","2.3","8","14.9","32.1"
"Eastern Buffer","EM1","1988-04-11","1","Surface Water","0.1","2","<0.02","0.54","0.005","0.005","0.03","98","7.8","160","6.2","8.3","16.9","32.9"
"Eastern Buffer","EM1","1988-04-11","1","Middle Water","0.3","4.5","<0.02","0.58","0.006","0.005","0.02","97","7.7","180","7.6","8.3","16.9","32.8"
"Eastern Buffer","EM1","1988-04-11","1","Bottom Water","<0.1","4","0.02","0.43","0.017","0.005","0.04","96","7.6","230","10.1","8.3","16.9","32.8"
"Eastern Buffer","EM1","1988-05-12","1","Surface Water","2.5","1","0.08","0.83","0.21","0.053","0.27","78","5.3","1600","4","8.1","24.8","32.2"
"Eastern Buffer","EM1","1988-05-12","1","Middle Water","1.3","1.5","0.06","0.62","0.1","0.025","0.14","76","5.3","6500","3.5","8.1","23.1","33.7"
"Eastern Buffer","EM1","1988-05-12","1","Bottom Water","1.5","4","0.05","0.53","0.091","0.018","0.13","76","5.3","2500","3.3","8.1","23","33.8"
"Eastern Buffer","EM1","1988-06-06","1","Surface Water","0.7","1","0.04","0.54","0.072","0.008","0.1","88","5.8","1","4.2","8.1","26.6","33.4"
"Eastern Buffer","EM1","1988-06-06","1","Middle Water","0.7","2.5","0.03","0.51","0.066","<0.005","0.1","84","5.6","80","6.2","8.2","26.1","33.5"
"Eastern Buffer","EM1","1988-06-06","1","Bottom Water","0.6","4","0.03","0.48","0.061","<0.005","0.09","81","5.4","20","6.6","8.1","25.8","33.8"
"Eastern Buffer","EM1","1988-07-08","1","Surface Water","1.4","7","0.02","0.5","0.012","<0.005","0.08","86","5.8","700","4.5","8.3","25.8","29"
"Eastern Buffer","EM1","1988-07-08","1","Middle Water","0.6","7","0.05","0.62","0.072","0.011","0.12","67","4.7","4600","5.5","8.1","23.5","33.2"
"Eastern Buffer","EM1","1988-07-08","1","Bottom Water","2.8","6","0.05","0.63","0.05","0.018","0.1","69","4.8","2600","5.9","8.1","23.3","33.5"
"Eastern Buffer","EM1","1988-08-12","1","Surface Water","0.8","2","<0.02","0.29","0.034","0.005","0.06","91","6.1","210","2.3","8.4","26.8","31"
"Eastern Buffer","EM1","1988-08-12","1","Middle Water","0.5","3.5","0.04","0.49","0.12","0.02","0.18","57","4","1700","3.5","8.3","24.5","32.4"
"Eastern Buffer","EM1","1988-08-12","1","Bottom Water","0.3","4","0.02","0.44","0.16","0.02","0.24","52","3.6","3100","4.8","8.2","23.8","33.1"
"Eastern Buffer","EM1","1988-09-13","1","Surface Water","2.2","5","0.03","0.46","0.005","<0.005","0.05","106","7.3","4400","1.5","8.5","26","30.3"
"Eastern Buffer","EM1","1988-09-13","1","Middle Water","1.5","2","0.04","0.49","0.066","0.012","0.13","78","5.4","5700","6.5","8.1","24.7","32.1"
"Eastern Buffer","EM1","1988-09-13","1","Bottom Water","2.1","7","0.04","0.4","0.022","0.007","0.08","55","3.9","6100","5","8.4","23.5","33"
"Eastern Buffer","EM1","1988-10-07","1","Surface Water","0.5","1.5","0.04","0.78","0.12","0.012","0.19","68","4.7","10","3.3","8.3","24.9","31.9"
"Eastern Buffer","EM1","1988-10-07","1","Middle Water","0.4","5.5","0.03","0.7","<0.005","0.005","0.08","69","4.8","1","5.3","8.3","24.7","31.9"
"Eastern Buffer","EM1","1988-10-07","1","Bottom Water","0.5","6","0.04","0.77","0.14","0.018","0.21","72","4.9","1","6.3","8.4","24.7","31.9"
"Eastern Buffer","EM1","1988-11-18","1","Surface Water","0.4","2.5","0.09","0.87","0.43","0.072","0.58","49","3.6","90","3.2","8","21.4","31.1"
"Eastern Buffer","EM1","1988-11-18","1","Middle Water","0.3","2","0.1","0.73","0.42","0.07","0.57","50","3.7","150","3.5","8","21.4","31.1"
"Eastern Buffer","EM1","1988-11-18","1","Bottom Water","0.3","2","0.11","0.81","0.42","0.066","0.56","52","3.8","170","3.8","8","21.4","31.2"
"Eastern Buffer","EM1","1988-12-12","1","Surface Water","0.2","4","0.06","0.55","0.21","0.03","0.29","78","5.9","200","4","8.3","19.2","31"
"Eastern Buffer","EM1","1988-12-12","1","Middle Water","0.2","6.5","0.04","0.54","0.19","0.029","0.27","79","6.1","1500","7.3","8.3","19","31.1"
"Eastern Buffer","EM1","1988-12-12","1","Bottom Water","0.2","12","0.05","0.53","0.16","0.022","0.23","83","6.4","1800","14.7","8.3","19","31.1"
"Eastern Buffer","EM1","1989-01-09","1","Surface Water","0.3","4.5","0.04","0.59","0.15","0.028","0.24","79","6.2","1200","5.9","8.3","17.5","31.7"
"Eastern Buffer","EM1","1989-01-09","1","Middle Water","0.2","5","0.04","0.58","0.13","0.026","0.22","84","6.6","800","7.8","8.3","17.4","31.7"
"Eastern Buffer","EM1","1989-01-09","1","Bottom Water","0.3","5","0.04","0.46","0.12","0.024","0.2","85","6.7","700","7.8","8.4","17.3","31.7"
"Eastern Buffer","EM1","1989-02-13","1","Surface Water","0.7","4","0.04","1.21","0.07","0.02","0.18","89","7.4","70","3.8","8.3","15","31.9"
"Eastern Buffer","EM1","1989-02-13","1","Middle Water","0.5","3.5","0.04","0.39","0.079","0.021","0.19","90","7.5","8500","3.9","8.3","14.9","31.9"
"Eastern Buffer","EM1","1989-02-13","1","Bottom Water","0.6","3","0.04","0.36","0.064","0.021","0.19","91","7.6","110","4","8.3","14.9","31.9"
"Eastern Buffer","EM1","1989-03-10","1","Surface Water","0.7","4","0.04","0.47","0.11","0.015","0.15","87","7.1","310","2.7","8.3","15.8","33.1"
"Eastern Buffer","EM1","1989-03-10","1","Middle Water","0.3","4","0.04","0.4","0.096","0.009","0.15","90","7.4","270","2.7","8.3","15.7","33.2"
"Eastern Buffer","EM1","1989-03-10","1","Bottom Water","0.2","4.5","0.03","0.39","0.079","0.01","0.11","94","7.6","220","2.8","8.3","15.9","33.4"
"Eastern Buffer","EM1","1989-04-10","1","Surface Water","0.3","2","0.04","0.48","0.19","0.04","0.23","68","5.3","1400","5.1","8.2","18.4","33"
"Eastern Buffer","EM1","1989-04-10","1","Middle Water","0.3","2","0.04","0.44","0.17","0.015","0.21","70","5.5","1500","6.2","8.2","18.2","33.1"
"Eastern Buffer","EM1","1989-04-10","1","Bottom Water","0.3","1.5","0.03","0.46","0.14","<0.005","0.18","78","6.1","1600","6.6","8.1","18.2","33.3"
"Eastern Buffer","EM1","1989-05-08","1","Surface Water","0.8","1","0.04","0.72","0.19","0.03","0.25","62","4.5","13000","9.5","8.2","22.7","32.3"
"Eastern Buffer","EM1","1989-05-08","1","Middle Water","0.7","5.5","0.05","0.63","0.2","0.024","0.25","63","4.5","8900","13","8.2","22.7","32.3"
"Eastern Buffer","EM1","1989-05-08","1","Bottom Water","0.8","4.5","0.05","0.6","0.21","0.03","0.26","63","4.5","8300","11.5","8.2","22.7","32.3"
"Eastern Buffer","EM1","1989-06-06","1","Surface Water","1","2","0.05","0.62","0.27","0.03","0.33","64","4.7","5700","7.2","8.2","23.2","32.9"
"Eastern Buffer","EM1","1989-06-06","1","Middle Water","1","3.5","0.05","0.64","0.27","0.03","0.33","62","4.6","12000","8","8.2","23.1","32.9"
"Eastern Buffer","EM1","1989-06-06","1","Bottom Water","1.1","8","0.05","0.66","0.26","0.03","0.31","66","4.8","600","6.8","8.2","22.9","33.3"
"Eastern Buffer","EM1","1989-07-10","1","Surface Water","1.8","0.5","0.03","0.33","0.009","<0.005","0.03","102","6.8","1","4","8.8","26.8","28.8"
"Eastern Buffer","EM1","1989-07-10","1","Middle Water","1.7","4","0.03","0.3","0.013","<0.005","0.04","92","6.3","1","4.4","8.8","25.6","30.4"
"Eastern Buffer","EM1","1989-07-10","1","Bottom Water","1.9","6.5","0.04","0.34","0.018","0.008","0.05","77","5.2","1","4.4","8.8","24.6","31.5"
"Eastern Buffer","EM1","1989-08-07","1","Surface Water","1.6","2","0.07","0.64","0.15","0.024","0.23","66","4.6","3300","5","8.6","25","32.5"
"Eastern Buffer","EM1","1989-08-07","1","Middle Water","0.8","2","0.05","0.59","0.12","0.021","0.2","51","3.6","1800","4.2","8.6","24.3","32.8"
"Eastern Buffer","EM1","1989-08-07","1","Bottom Water","0.6","6","0.06","0.52","0.14","0.03","0.22","54","3.9","14000","8.5","8.6","22.8","33.8"
"Eastern Buffer","EM1","1989-09-08","1","Surface Water","1.8","3.5","0.08","0.27","0.046","0.012","0.09","101","6.6","N/A","2.1","8.8","28.7","30.3"
"Eastern Buffer","EM1","1989-09-08","1","Middle Water","2.4","2","0.02","0.28","0.053","0.009","0.09","100","6.6","N/A","2","8.8","28.5","30.3"
"Eastern Buffer","EM1","1989-09-08","1","Bottom Water","1.7","4.5","<0.02","0.36","0.069","0.012","0.12","84","5.6","N/A","11","8.6","28.1","30.4"
"Eastern Buffer","EM1","1989-10-10","1","Surface Water","0.6","5","0.03","0.37","0.086","0.016","0.14","82","5.5","N/A","4.9","8.5","26.6","32.5"
"Eastern Buffer","EM1","1989-10-10","1","Middle Water","0.6","5.5","0.03","0.36","0.082","0.017","0.15","83","5.5","N/A","4.8","8.5","26.6","32.5"
"Eastern Buffer","EM1","1989-10-10","1","Bottom Water","0.6","9","0.03","0.39","0.082","0.017","0.14","83","5.4","N/A","6.3","8.5","26.5","32.5"
"Eastern Buffer","EM1","1989-11-06","1","Surface Water","1.4","2","0.06","0.82","0.29","0.043","0.36","62","4.3","360","2.6","8.3","24.9","32.2"
"Eastern Buffer","EM1","1989-11-06","1","Middle Water","1.1","2","0.05","0.71","0.26","0.04","0.33","80","5.6","320","2.8","8.3","24.9","32.6"
"Eastern Buffer","EM1","1989-11-06","1","Bottom Water","0.8","4.5","0.03","0.38","0.16","0.013","0.21","76","5.1","290","4.9","8.4","24.8","33.3"
"Eastern Buffer","EM1","1989-12-08","1","Surface Water","0.6","3","0.11","1.21","0.34","0.061","0.45","46","3.5","2000","4","8.2","20.4","31.3"
"Eastern Buffer","EM1","1989-12-08","1","Middle Water","0.7","3.5","0.1","1.12","0.35","0.052","0.48","46","3.4","2100","3.6","8.2","20.4","31.4"
"Eastern Buffer","EM1","1989-12-08","1","Bottom Water","2.1","0.5","0.1","1.32","0.32","0.057","0.44","45","3.3","1400","4.3","8.2","20.3","31.4"
"Eastern Buffer","EM1","1990-01-05","1","Surface Water","1.1","2.5","0.05","0.66","0.13","0.036","0.22","72","6.2","1100","4.5","8.2","17.9","31.5"
"Eastern Buffer","EM1","1990-01-05","1","Middle Water","0.9","3.5","0.05","0.64","0.13","0.026","0.22","71","6.1","1300","4.2","8.2","17.9","31.6"
"Eastern Buffer","EM1","1990-01-05","1","Bottom Water","1","4","0.05","0.68","0.13","0.026","0.21","69","5.9","680","3.8","8.2","17.9","31.6"
"Eastern Buffer","EM1","1990-02-05","1","Surface Water","5","2","0.24","1.52","0.49","0.094","0.61","70","6.3","N/A","4","8.4","15.8","30.4"
"Eastern Buffer","EM1","1990-02-05","1","Middle Water","0.9","2","0.06","0.63","0.098","0.028","0.21","65","5.9","N/A","2.2","8.4","15.7","30.8"
"Eastern Buffer","EM1","1990-02-05","1","Bottom Water","0.2","1","0.04","0.55","0.077","0.021","0.18","71","6.5","N/A","2.3","8.5","15.5","31.2"
"Eastern Buffer","EM1","1990-03-05","1","Surface Water","0.8","1","0.05","0.7","0.17","0.033","0.27","78","7","690","2.4","8.5","16","30.9"
"Eastern Buffer","EM1","1990-03-05","1","Middle Water","0.8","2.5","0.05","0.55","0.12","0.028","0.19","71","6.4","1100","2.4","8.6","15.9","31.3"
"Eastern Buffer","EM1","1990-03-05","1","Bottom Water","1.1","3","0.07","0.56","0.14","0.032","0.24","70","6.3","730","2.8","8.6","15.8","31.4"
"Eastern Buffer","EM1","1990-04-02","1","Surface Water","1","2","0.14","1.12","0.38","0.076","0.4","59","5","17000","3.1","8.2","18.6","31.8"
"Eastern Buffer","EM1","1990-04-02","1","Middle Water","1.3","1.5","0.05","0.9","0.13","0.016","0.19","66","5.6","2900","3.6","8.2","18.1","32"
"Eastern Buffer","EM1","1990-04-02","1","Bottom Water","1","27","0.03","0.81","0.089","0.01","0.15","63","5.6","1000","3.7","8.2","17.1","31.8"
"Eastern Buffer","EM1","1990-05-07","1","Surface Water","1.5","6.5","0.07","0.97","0.092","0.013","0.24","83","6.5","3500","3.5","8.6","21.7","32.2"
"Eastern Buffer","EM1","1990-05-07","1","Middle Water","1.3","20","0.08","0.96","0.078","0.009","0.13","80","6.3","2900","4.4","8.7","21.6","32.3"
"Eastern Buffer","EM1","1990-05-07","1","Bottom Water","1.2","9.5","0.06","0.98","0.067","0.005","0.23","75","5.9","900","4.5","8.7","21.6","32.3"
"Eastern Buffer","EM1","1990-06-04","1","Surface Water","0.9","4","0.06","1.17","0.33","0.047","0.4","60","4.4","4000","4.5","8.2","25","32.2"
"Eastern Buffer","EM1","1990-06-04","1","Middle Water","0.8","8.5","0.06","1.06","0.26","0.034","0.32","61","4.5","5100","14","8.2","24.8","32.3"
"Eastern Buffer","EM1","1990-06-04","1","Bottom Water","0.6","9.5","0.05","0.72","0.24","0.035","0.29","67","4.9","6000","17","8.3","24.8","32.5"
"Eastern Buffer","EM1","1990-07-06","1","Surface Water","2.3","6","0.11","0.77","0.064","0.006","0.25","86","6.2","N/A","4.5","8.4","25.2","28.8"
"Eastern Buffer","EM1","1990-07-06","1","Middle Water","1.6","7.5","0.06","0.64","0.12","0.006","0.23","53","4","N/A","N/A","8.4","23.2","32.3"
"Eastern Buffer","EM1","1990-07-06","1","Bottom Water","2.2","6","0.09","0.77","0.091","0.006","0.23","59","4.6","N/A","5.2","8.4","22.6","33.7"
"Eastern Buffer","EM1","1990-08-06","1","Surface Water","2.3","1.5","0.08","0.64","0.16","0.013","0.23","80","5.5","1700","2.3","8.4","27.5","29.7"
"Eastern Buffer","EM1","1990-08-06","1","Middle Water","1","8","0.08","0.46","0.053","0.013","0.15","60","4.2","3100","7","8.4","26.4","32"
"Eastern Buffer","EM1","1990-08-06","1","Bottom Water","0.8","7","0.04","0.51","0.021","0.003","0.09","64","4.5","1800","6.7","8.4","25.9","33.3"
"Eastern Buffer","EM1","1990-09-07","1","Surface Water","1.8","2.5","0.06","0.6","<0.005","<0.002","0.02","97","6.6","200","4.3","8.5","28","32.3"
"Eastern Buffer","EM1","1990-09-07","1","Middle Water","1.3","3.5","0.07","0.66","0.049","0.022","0.12","80","5.5","1500","5.3","8.4","27.7","32.6"
"Eastern Buffer","EM1","1990-09-07","1","Bottom Water","0.9","6","0.06","0.6","0.023","0.028","0.09","69","4.8","1500","8.6","8.4","27.3","32.9"
"Eastern Buffer","EM1","1990-10-08","1","Surface Water","0.4","5.5","0.05","1.14","0.053","0.02","0.09","53","3.6","700","5","8.2","28","31.3"
"Eastern Buffer","EM1","1990-10-08","1","Middle Water","0.2","6","0.06","0.73","0.053","0.018","0.09","67","4.6","1500","8","8.2","27.8","31.8"
"Eastern Buffer","EM1","1990-10-08","1","Bottom Water","0.5","8","0.08","0.59","0.038","0.014","0.07","75","5.1","500","11","8.2","27.8","32"
"Eastern Buffer","EM1","1990-11-05","1","Surface Water","0.7","1.5","0.05","0.65","0.012","<0.002","0.04","103","7.5","2700","3.7","8.3","24.9","32.1"
