"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Suspended Solids (mg/L)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Ammonia Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","Total Inorganic Nitrogen (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Turbidity (NTU)","pH","Temperature (°C)","Salinity (psu)"
"Eastern Buffer","EM1","1986-01-16","1","Surface Water","N/A","N/A","N/A","N/A","N/A","N/A","N/A","80","N/A","160","1.2","N/A","16.3","33"
"Eastern Buffer","EM1","1986-01-16","1","Middle Water","0.7","42","0.06","N/A","N/A","N/A","N/A","86","N/A","200","1.4","8.2","16.1","33"
"Eastern Buffer","EM1","1986-01-16","1","Bottom Water","N/A","N/A","N/A","N/A","N/A","N/A","N/A","85","N/A","240","1.8","N/A","16.1","33"
"Eastern Buffer","EM1","1986-04-11","1","Surface Water","0.3","1.5","0.08","0.72","0.169","0.039","0.21","66","4.9","80","1.9","8.1","19.1","33.8"
"Eastern Buffer","EM1","1986-04-11","1","Bottom Water","0.2","31","0.15","0.85","0.1","0.02","0.13","76","5.7","40","9","8.2","19.6","34"
"Eastern Buffer","EM1","1986-05-12","1","Surface Water","1","4","0.07","0.62","0.25","0.05","0.32","69","4.8","2800","3.3","8","24.5","30.6"
"Eastern Buffer","EM1","1986-05-12","1","Bottom Water","0.5","1.5","0.02","0.27","0.119","0.02","0.14","84","6","270","1.2","8.1","24.6","33.5"
"Eastern Buffer","EM1","1986-06-09","1","Surface Water","N/A","N/A","N/A","N/A","N/A","N/A","N/A","87","5.9","1400","1","N/A","25.8","32.2"
"Eastern Buffer","EM1","1986-06-09","1","Middle Water","0.4","2","0.02","0.6","0.025","0.01","0.05","87","5.9","N/A","1.1","8.1","25.8","32.2"
"Eastern Buffer","EM1","1986-06-09","1","Bottom Water","N/A","N/A","N/A","N/A","N/A","N/A","N/A","80","5.5","62","1.1","N/A","25.7","32.3"
"Eastern Buffer","EM1","1986-07-07","1","Surface Water","2.3","3.5","0.09","1.52","0.38","0.039","0.5","66","4.6","3500","3.1","8.1","26.5","23.9"
"Eastern Buffer","EM1","1986-07-07","1","Middle Water","0.6","2","0.05","0.92","0.079","0.02","0.17","60","4.3","N/A","1.9","8","23.2","30.7"
"Eastern Buffer","EM1","1986-07-07","1","Bottom Water","0.6","1.5","0.08","0.4","0.069","0.02","0.15","59","4.2","2400","2.4","8","22.6","30.8"
"Eastern Buffer","EM1","1986-08-04","1","Surface Water","3.1","2.5","0.08","0.74","0.022","0.02","0.05","115","8.1","1300","3.4","8.3","26.4","30.3"
"Eastern Buffer","EM1","1986-08-04","1","Middle Water","2.2","3.5","0.08","0.78","0.02","0.029","0.06","97","6.9","N/A","4.5","8.2","26.1","31"
"Eastern Buffer","EM1","1986-08-04","1","Bottom Water","2","5.5","0.09","0.7","0.22","0.029","0.27","71","5.1","2400","4.1","8.2","25.2","31.3"
"Eastern Buffer","EM1","1986-09-01","1","Surface Water","1","1","0.06","0.84","0.289","0.05","0.35","54","3.4","7600","3.4","7.9","29.5","30.8"
"Eastern Buffer","EM1","1986-09-01","1","Middle Water","0.5","8","0.06","0.64","0.25","0.039","0.31","44","2.8","N/A","5","7.8","28.6","32.1"
"Eastern Buffer","EM1","1986-09-01","1","Bottom Water","0.7","4.5","0.06","0.75","0.19","0.039","0.24","49","3.2","3400","5.1","7.9","28.5","32.5"
"Eastern Buffer","EM1","1986-10-10","1","Surface Water","1.3","6","0.06","0.72","0.369","0.05","0.46","43","2.9","160","5.3","8.1","27.1","32.8"
"Eastern Buffer","EM1","1986-10-10","1","Middle Water","1.2","2","0.1","0.56","0.33","0.05","0.4","47","3.1","N/A","6.1","8.1","27","32.9"
"Eastern Buffer","EM1","1986-10-10","1","Bottom Water","1.3","11","0.05","0.59","0.3","0.029","0.37","60","4","510","10","8.2","26.9","33"
"Eastern Buffer","EM1","1986-11-10","1","Surface Water","0.4","3","0.03","0.44","0.139","0.029","0.2","82","5.8","80","3.8","8.2","23.5","33.5"
"Eastern Buffer","EM1","1986-11-10","1","Middle Water","0.6","4","0.04","0.43","0.13","0.029","0.18","81","5.7","N/A","5.6","8.2","23.4","33.5"
"Eastern Buffer","EM1","1986-11-10","1","Bottom Water","0.7","3.5","0.04","0.43","0.13","0.029","0.18","81","5.7","430","5.2","8.2","23.4","33.4"
"Eastern Buffer","EM1","1986-12-08","1","Surface Water","0.3","3","0.07","0.47","0.086","0.029","0.22","81","6.2","530","3","8.1","19.2","31.8"
"Eastern Buffer","EM1","1986-12-08","1","Middle Water","0.2","1","0.08","0.56","0.096","0.029","0.23","81","6.2","N/A","3","8.1","19.2","31.8"
"Eastern Buffer","EM1","1986-12-08","1","Bottom Water","0.2","3","0.06","0.48","0.09","0.029","0.21","81","6.2","600","3.8","8.1","19.2","31.7"
"Eastern Buffer","EM1","1987-01-09","1","Surface Water","0.6","2.5","0.13","0.96","0.21","0.06","0.33","73","5.6","470","2.2","8","18.2","31.3"
"Eastern Buffer","EM1","1987-01-09","1","Middle Water","0.5","1.5","0.1","0.93","0.19","0.05","0.34","75","5.8","N/A","1.9","8","18","31.4"
"Eastern Buffer","EM1","1987-01-09","1","Bottom Water","0.3","1.5","0.06","0.81","0.16","0.039","0.27","77","6","760","3.7","8","18","30.6"
"Eastern Buffer","EM1","1987-02-09","1","Surface Water","1.2","1","0.16","0.43","0.149","<0.01","0.26","86","6.8","660","1.8","8.1","17.2","32.2"
"Eastern Buffer","EM1","1987-02-09","1","Middle Water","1.2","1","0.11","0.35","0.149","0.01","0.24","89","7.1","N/A","1.7","8.1","17.2","32.2"
"Eastern Buffer","EM1","1987-02-09","1","Bottom Water","1","1.5","0.08","0.25","0.053","<0.01","0.12","89","7.1","270","1.9","8.2","17.1","32.2"
"Eastern Buffer","EM1","1987-03-09","1","Surface Water","0.5","5","0.12","0.4","0.32","0.06","0.39","70","5.3","160","1.3","7.8","19.6","32.8"
"Eastern Buffer","EM1","1987-03-09","1","Middle Water","0.7","2","0.05","0.46","0.259","0.05","0.31","67","5.1","N/A","1.4","7.8","19.3","33.2"
"Eastern Buffer","EM1","1987-03-09","1","Bottom Water","0.2","5.5","0.03","0.31","0.149","0.029","0.18","74","5.7","400","6.9","7.9","19.2","33.8"
"Eastern Buffer","EM1","1987-04-02","1","Surface Water","1.5","31","0.07","0.61","0.35","0.029","0.43","73","5.5","3000","5.8","8","20.4","32.4"
"Eastern Buffer","EM1","1987-04-02","1","Middle Water","0.9","8.5","0.09","0.55","0.24","0.029","0.35","73","5.5","N/A","6.8","8","20.5","32.4"
"Eastern Buffer","EM1","1987-04-02","1","Bottom Water","0.7","9.5","0.11","0.41","0.19","0.02","0.29","82","6.1","2900","7.9","8","20.3","32.5"
"Eastern Buffer","EM1","1987-05-08","1","Surface Water","1","3.5","0.04","0.58","0.21","0.028","0.26","66","4.8","3700","1.8","7.9","22.8","32.5"
"Eastern Buffer","EM1","1987-05-08","1","Middle Water","1","5","0.04","0.51","0.19","0.029","0.24","67","4.9","N/A","1.7","7.9","22.7","32.7"
"Eastern Buffer","EM1","1987-05-08","1","Bottom Water","0.8","4.5","0.05","0.23","0.08","0.021","0.12","71","5.2","1100","3.4","7.9","22.6","32.9"
"Eastern Buffer","EM1","1987-06-08","1","Surface Water","2.2","9","0.04","0.7","0.044","0.016","0.21","85","5.8","1500","2.4","8.2","25.4","27.2"
"Eastern Buffer","EM1","1987-06-08","1","Middle Water","1","4","0.08","0.62","0.011","0.031","0.13","59","4.1","N/A","2.2","8","24","32.5"
"Eastern Buffer","EM1","1987-06-08","1","Bottom Water","0.5","4.5","0.04","0.31","0.071","0.013","0.14","58","4.1","3700","2.7","8","23.8","33.2"
"Eastern Buffer","EM1","1987-07-10","1","Surface Water","2.5","5.5","0.09","0.64","0.11","0.009","0.27","51","3.5","1300","4.7","8.3","26.7","26.7"
"Eastern Buffer","EM1","1987-07-10","1","Middle Water","2","10","0.13","0.85","0.13","0.014","0.27","47","3.2","N/A","7.8","8.1","25.9","28.9"
"Eastern Buffer","EM1","1987-07-10","1","Bottom Water","0.8","13","0.08","0.65","0.19","0.034","0.29","32","2.2","5900","15","7.9","24","32.1"
"Eastern Buffer","EM1","1987-08-07","1","Surface Water","1.7","9.5","0.06","0.22","0.04","0.013","0.15","74","5.1","4200","6","8.2","24.3","29.4"
"Eastern Buffer","EM1","1987-08-07","1","Middle Water","0.6","11","0.08","0.26","0.033","0.026","0.12","52","3.6","N/A","11.5","8","22","33.6"
"Eastern Buffer","EM1","1987-08-07","1","Bottom Water","0.7","14","0.06","0.21","0.038","0.026","0.12","55","3.6","4800","11","8","21.7","34.1"
"Eastern Buffer","EM1","1987-09-07","1","Surface Water","1","11","0.07","0.97","0.12","0.023","0.19","60","4.1","6900","17","8.2","25.6","31.3"
"Eastern Buffer","EM1","1987-09-07","1","Middle Water","1.2","13","0.07","0.92","0.13","0.025","0.2","59","4","N/A","13","8.2","25.6","31.4"
"Eastern Buffer","EM1","1987-09-07","1","Bottom Water","1.3","12","0.09","1.07","0.12","0.027","0.19","58","4","8600","12","8.2","25.4","31.4"
