"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Suspended Solids (mg/L)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Ammonia Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","Total Inorganic Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Turbidity (NTU)","pH","Temperature (°C)","Salinity (psu)"
"Deep Bay","DM1","1986-02-14","1","Surface Water","1.5","57","0.92","N/A","N/A","N/A","N/A","29","114","N/A","110","8.8","8.1","19.4","26.9"
"Deep Bay","DM1","1986-02-14","1","Middle Water","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","120","N/A","N/A","N/A","N/A","17.9","23.4"
"Deep Bay","DM1","1986-02-14","1","Bottom Water","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","118","N/A","N/A","N/A","N/A","17.8","24.1"
"Deep Bay","DM1","1986-05-07","1","Surface Water","2.3","26","1.4","2.95","N/A","N/A","N/A","4.5","43","3.1","560","38","7.6","26.3","17.6"
"Deep Bay","DM1","1986-08-07","1","Surface Water","2.8","10","0.45","1.2","0.27","0.279","0.57","7.6","91","6.3","30","13","8.2","30.8","14.1"
"Deep Bay","DM1","1986-10-03","1","Surface Water","1.1","18","0.64","1.94","0.16","0.38","0.6","4","71","5.1","270","40","7.9","25.8","22.2"
"Deep Bay","DM1","1986-12-18","1","Surface Water","4","78","2.1","4.91","3.899","1.1","4.61","3.1","45","3.4","38000","59","7.6","19.3","24.8"
"Deep Bay","DM1","1987-02-12","1","Surface Water","2.4","15","2.6","5.95","0.038","0.85","4.19","1.1","48","3.6","1300","21","7.4","21.5","24.5"
"Deep Bay","DM1","1987-04-30","1","Surface Water","1.5","13","0.59","2.08","0.008","0.479","0.99","<0.2","75","5.1","10","25.3","7.8","25.7","17.9"
"Deep Bay","DM1","1987-04-30","1","Bottom Water","1.4","15","0.59","2.12","0.69","0.44","1.82","2.9","77","5.2","80","25.4","7.8","25.5","18.5"
"Deep Bay","DM1","1987-06-11","1","Surface Water","1.4","5.5","0.53","1.27","0.899","0.52","0.97","3.2","65","4.8","3500","18","7.5","25.9","15.4"
"Deep Bay","DM1","1987-09-17","1","Surface Water","4.7","60","2.2","5.94","4","1.2","4.54","5.3","17","1.2",">200000","87","7.8","29.7","14"
"Deep Bay","DM1","1987-10-13","1","Surface Water","3.7","26","1.7","5.99","4.3","1.4","5.19","7.7","30","2.1","36000","63","7.4","28.3","13"
"Deep Bay","DM1","1987-12-28","1","Surface Water","9.3","25","16","18.05","14","2.9","14.05","10","6","0.5","N/A","73","7.4","20.4","16.1"
