"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Suspended Solids (mg/L)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Ammonia Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","Total Inorganic Nitrogen (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Turbidity (NTU)","pH","Temperature (°C)","Salinity (psu)"
"Junk Bay","JM3","1987-09-07","1","Surface Water","1.6","2.5","0.06","0.6","0.009","<0.005","0.03","94","6.2","430","5.4","8.4","27.3","31.1"
"Junk Bay","JM3","1987-09-07","1","Middle Water","1.6","6","0.04","0.66","0.019","<0.005","0.03","79","5.3","N/A","4.2","8.5","26.5","31.3"
"Junk Bay","JM3","1987-09-07","1","Bottom Water","1","5","<0.02","0.75","0.067","0.011","0.12","59","4","610","7.3","8.2","25.6","31.8"
"Junk Bay","JM3","1987-10-09","1","Surface Water","1","1","0.11","0.85","0.25","0.039","0.32","62","4.1","1200","10.5","7.8","27.4","32.6"
"Junk Bay","JM3","1987-10-09","1","Middle Water","1.1","4","0.09","0.8","0.27","0.06","0.34","60","3.9","N/A","7.5","7.8","29.3","32.6"
"Junk Bay","JM3","1987-10-09","1","Bottom Water","0.9","2","0.11","0.84","0.14","0.018","0.19","70","4.6","510","8","7.8","27.3","32.9"
"Junk Bay","JM3","1987-11-05","1","Surface Water","0.4","2","0.05","0.56","0.19","0.035","0.27","75","5.2","210","6.5","8","24.7","33.5"
"Junk Bay","JM3","1987-11-05","1","Middle Water","0.4","3","0.05","0.67","0.14","0.02","0.21","75","5.2","N/A","6","8.1","24.6","33.5"
"Junk Bay","JM3","1987-11-05","1","Bottom Water","0.3","1.5","0.05","0.69","0.13","0.019","0.2","76","5.3","450","8.5","8.1","24.6","33.5"
"Junk Bay","JM3","1987-12-07","1","Surface Water","0.2","5","0.05","0.43","0.076","0.02","0.16","84","6.7","170","5","8.3","17.6","33.1"
"Junk Bay","JM3","1987-12-07","1","Middle Water","0.2","5","0.02","0.6","0.08","0.019","0.21","84","6.6","N/A","5.2","8.3","17.6","33.1"
"Junk Bay","JM3","1987-12-07","1","Bottom Water","0.3","5.5","0.07","0.56","0.077","0.02","0.16","84","6.7","110","5.3","8.3","17.4","33.1"
"Junk Bay","JM3","1988-01-07","1","Surface Water","1.1","19","0.07","0.86","0.26","0.051","0.38","76","6","490","3.1","8.1","18","31.4"
"Junk Bay","JM3","1988-01-07","1","Middle Water","0.8","6.5","0.06","0.75","0.2","0.034","0.31","79","6.2","N/A","3.9","8.1","17.7","31.4"
"Junk Bay","JM3","1988-01-07","1","Bottom Water","0.9","9.5","0.06","0.8","0.22","0.039","0.34","80","6.3","640","3.2","8.1","17.7","31.4"
"Junk Bay","JM3","1988-02-08","1","Surface Water","0.8","4","0.08","0.47","0.16","0.036","0.27","79","6.3","2400","3","8","17.6","32.7"
"Junk Bay","JM3","1988-02-08","1","Middle Water","0.7","14","0.05","0.51","0.072","0.032","0.22","82","6.4","1800","2.8","8.1","17.7","32.8"
"Junk Bay","JM3","1988-02-08","1","Bottom Water","0.6","5","0.07","0.39","0.086","0.03","0.18","85","6.7","620","4.1","8.1","17.7","32.9"
"Junk Bay","JM3","1988-03-07","1","Surface Water","0.7","12","0.08","0.75","0.13","0.027","0.24","68","5.7","2400","2","8","14.9","32"
"Junk Bay","JM3","1988-03-07","1","Middle Water","0.7","5.5","0.07","0.62","0.15","0.029","0.26","68","5.8","2400","2.1","8","14.9","32"
"Junk Bay","JM3","1988-03-07","1","Bottom Water","0.8","8.5","0.09","0.82","0.11","0.026","0.21","72","6","1200","1.9","8","14.8","32"
"Junk Bay","JM3","1988-04-11","1","Surface Water","0.4","2","0.04","0.8","0.13","0.016","0.22","93","7.4","60","4.8","8.2","16.5","32.6"
"Junk Bay","JM3","1988-04-11","1","Middle Water","0.1","2","0.03","0.51","0.06","0.012","0.12","93","7.4","60","6.2","8.2","16.5","32.7"
"Junk Bay","JM3","1988-04-11","1","Bottom Water","0.3","2","0.03","0.54","0.074","0.01","0.14","94","7.5","40","6.1","8.2","16.7","32.8"
"Junk Bay","JM3","1988-05-12","1","Surface Water","4.3","1.5","0.06","0.85","0.17","0.021","0.22","110","7.5","230","3.5","8.3","24.7","32.7"
"Junk Bay","JM3","1988-05-12","1","Bottom Water","1.9","2","0.05","0.69","0.17","0.029","0.21","88","6.2","320","3","8.2","23.4","33.5"
"Junk Bay","JM3","1988-06-06","1","Surface Water","0.6","2.5","0.04","0.49","0.17","0.005","0.22","79","5.3","110","4.4","8.1","26.2","33.3"
"Junk Bay","JM3","1988-06-06","1","Middle Water","0.5","2.5","0.03","0.42","0.15","0.005","0.19","80","5.4","70","4.8","8.1","26.2","33.2"
"Junk Bay","JM3","1988-06-06","1","Bottom Water","0.5","4","<0.02","0.42","0.068","<0.005","0.1","80","5.3","170","4","8.1","26","33.5"
"Junk Bay","JM3","1988-07-08","1","Surface Water","1.4","3.5","0.02","0.8","0.13","<0.005","0.2","129","8.6","1","2.5","8.3","27.4","31.9"
"Junk Bay","JM3","1988-07-08","1","Bottom Water","2.1","4","0.03","0.66","0.006","<0.005","0.01","116","7.9","10","3.5","8.4","25.2","32"
"Junk Bay","JM3","1988-08-12","1","Surface Water","0.9","3.5","<0.02","0.34","0.03","<0.005","0.06","98","6.5","30","2.6","8.4","26.9","30.9"
"Junk Bay","JM3","1988-08-12","1","Middle Water","0.8","2","<0.02","0.42","0.082","0.013","0.13","73","4.9","160","3.5","8.4","26","31.2"
"Junk Bay","JM3","1988-08-12","1","Bottom Water","0.9","4","0.02","0.41","0.082","0.011","0.12","47","3.2","140","3.4","8.4","24.9","32.3"
"Junk Bay","JM3","1988-09-13","1","Surface Water","2.7","2.5","0.02","0.67","0.076","<0.005","0.14","99","6.7","80","3.5","8.5","25.6","31.8"
"Junk Bay","JM3","1988-09-13","1","Middle Water","3.1","2","0.02","0.71","0.052","<0.005","0.11","92","6.3","60","1.5","7.5","24.9","32.1"
"Junk Bay","JM3","1988-09-13","1","Bottom Water","0.8","28","0.03","0.34","0.005","<0.005","0.01","62","4.3","1400","51.5","8.2","23.6","32.9"
"Junk Bay","JM3","1988-10-07","1","Surface Water","0.3","6","0.03","0.73","0.12","0.006","0.21","78","5.4","10","3.6","8.4","24.9","31.9"
"Junk Bay","JM3","1988-10-07","1","Middle Water","0.7","2","0.03","0.76","0.042","<0.005","0.12","80","5.5","1","3","8.4","24.8","32"
"Junk Bay","JM3","1988-10-07","1","Bottom Water","0.4","4","0.03","0.69","0.061","0.007","0.13","79","5.4","30","4.9","8.2","24.6","32"
"Junk Bay","JM3","1988-11-18","1","Surface Water","0.3","3","0.09","0.92","0.62","0.066","0.82","61","4.6","1","5.5","8","21.2","31.2"
"Junk Bay","JM3","1988-11-18","1","Middle Water","0.3","2","0.09","0.89","0.63","0.058","0.84","62","4.5","10","6","8","21.2","31.2"
"Junk Bay","JM3","1988-11-18","1","Bottom Water","0.4","3.5","0.1","0.95","0.66","0.065","0.86","61","4.5","20","5","8","21.2","31.3"
"Junk Bay","JM3","1988-12-12","1","Surface Water","0.4","12","0.07","0.68","0.32","0.048","0.42","65","5","900","3.2","8.2","19","30.9"
"Junk Bay","JM3","1988-12-12","1","Middle Water","0.3","6.5","0.07","0.76","0.28","0.037","0.38","70","5.4","1300","5.2","8.2","18.8","31"
"Junk Bay","JM3","1988-12-12","1","Bottom Water","0.3","3","0.07","0.68","0.27","0.036","0.38","73","5.7","540","4.2","8.4","18.5","31"
"Junk Bay","JM3","1989-01-09","1","Surface Water","0.3","3.5","0.05","0.58","0.18","0.036","0.26","74","5.9","900","6.3","8.3","17.6","31.7"
"Junk Bay","JM3","1989-01-09","1","Middle Water","0.3","4.5","0.05","0.63","0.19","0.03","0.27","78","6.2","900","6.7","8.3","17.5","31.7"
"Junk Bay","JM3","1989-01-09","1","Bottom Water","0.2","3","0.05","0.55","0.16","0.02","0.24","84","6.7","300","5.1","8.3","17.4","31.9"
"Junk Bay","JM3","1989-02-13","1","Surface Water","0.9","3","0.04","0.44","0.098","0.017","0.21","92","7.7","260","4.1","8.2","14.9","31.8"
"Junk Bay","JM3","1989-02-13","1","Middle Water","1.2","2","0.05","0.43","0.096","0.023","0.21","91","7.6","250","3.4","8.3","14.9","31.8"
"Junk Bay","JM3","1989-02-13","1","Bottom Water","0.7","3","0.05","0.41","0.089","0.019","0.2","85","7.1","420","3.3","8.2","14.9","31.8"
"Junk Bay","JM3","1989-03-10","1","Surface Water","0.8","4.5","0.03","0.48","0.14","0.022","0.18","80","6.6","300","2.6","8.4","15.6","33"
"Junk Bay","JM3","1989-03-10","1","Middle Water","0.6","3","0.05","0.61","0.14","0.02","0.19","81","6.7","750","3.6","8.3","15.5","33"
"Junk Bay","JM3","1989-03-10","1","Bottom Water","0.4","3.5","0.04","0.45","0.16","0.023","0.2","82","6.7","1100","3.2","8.3","15.5","33"
"Junk Bay","JM3","1989-04-10","1","Surface Water","0.6","1.5","0.05","0.56","0.24","0.034","0.3","65","5.1","110","3.9","8.1","18.3","32.9"
"Junk Bay","JM3","1989-04-10","1","Middle Water","0.2","0.5","0.06","0.44","0.2","0.025","0.24","67","5.2","430","4.4","8.2","18.1","33"
"Junk Bay","JM3","1989-04-10","1","Bottom Water","0.4","2","0.04","0.46","0.18","0.025","0.22","71","5.6","530","5","8.2","18.1","33.1"
"Junk Bay","JM3","1989-05-08","1","Surface Water","5","1","0.04","0.5","0.15","0.02","0.2","88","6.5","1300","6","8.5","22.9","31.9"
"Junk Bay","JM3","1989-05-08","1","Middle Water","3.6","4","0.03","0.46","0.13","0.02","0.17","68","5","450","6","8.4","22.7","32.3"
"Junk Bay","JM3","1989-05-08","1","Bottom Water","1.8","2.5","0.04","0.59","0.15","0.029","0.21","66","4.9","600","5.5","8.2","22.6","32.5"
"Junk Bay","JM3","1989-06-06","1","Surface Water","0.8","0.5","0.03","0.45","0.18","0.02","0.23","79","5.7","10","5.2","8.2","23.3","33.3"
"Junk Bay","JM3","1989-06-06","1","Middle Water","0.9","0.5","0.03","0.56","0.18","0.024","0.23","76","5.4","20","5.3","8.3","23.2","33.6"
"Junk Bay","JM3","1989-06-06","1","Bottom Water","0.5","2","0.02","0.35","0.13","0.02","0.18","83","6","100","5.5","8.3","22.7","33.8"
"Junk Bay","JM3","1989-07-10","1","Surface Water","2.7","2","0.03","0.28","0.023","<0.005","0.03","108","7.3","1","3.2","8.9","26.6","29.1"
"Junk Bay","JM3","1989-07-10","1","Middle Water","2.5","3","0.03","0.25","0.007","<0.005","0.02","107","7.2","1","3.4","8.8","26.5","29.3"
"Junk Bay","JM3","1989-07-10","1","Bottom Water","3","2.5","0.03","0.35","0.011","<0.005","0.02","56","3.9","1","4.3","8.8","23.8","31.6"
"Junk Bay","JM3","1989-08-07","1","Surface Water","3.4","3","0.05","0.79","0.11","0.016","0.38","190","12.7","700","5.5","8.9","27","32"
"Junk Bay","JM3","1989-08-07","1","Middle Water","4.2","2","0.05","0.63","0.044","0.005","0.12","69","4.7","340","5.2","8.9","24.4","32.8"
"Junk Bay","JM3","1989-08-07","1","Bottom Water","0.8","5.5","0.05","0.56","0.13","0.03","0.21","57","4","940","7","8.6","23.9","33.2"
"Junk Bay","JM3","1989-09-08","1","Surface Water","1.6","11","0.04","0.25","0.083","0.013","0.12","93","6.1","90","2.1","8.7","28.4","30.2"
"Junk Bay","JM3","1989-09-08","1","Middle Water","2","1.5","<0.02","0.1","0.016","0.009","0.03","91","6","730","2.8","8.7","28.1","30.3"
"Junk Bay","JM3","1989-09-08","1","Bottom Water","1.5","1","0.04","0.18","0.018","0.008","0.03","70","4.6","1700","13","8.6","27.6","30.7"
"Junk Bay","JM3","1989-10-10","1","Surface Water","0.5","4.5","0.03","1.58","0.016","0.014","0.1","94","6.3","1","5.2","8.6","26.4","32.6"
"Junk Bay","JM3","1989-10-10","1","Middle Water","0.1","6","0.03","0.92","0.018","0.011","0.09","92","6.1","40","5","8.6","26.2","32.5"
"Junk Bay","JM3","1989-10-10","1","Bottom Water","0.7","8","0.06","1.2","0.13","0.016","0.23","86","5.8","550","7.4","8.6","26.1","32.5"
"Junk Bay","JM3","1989-11-06","1","Surface Water","1","1.5","0.05","0.8","0.3","0.044","0.37","64","4.4","60","3.2","8.3","24.6","32.1"
"Junk Bay","JM3","1989-11-06","1","Middle Water","1.1","2.5","0.05","0.88","0.29","0.02","0.37","63","4.4","90","3.2","8.3","24.6","32.2"
"Junk Bay","JM3","1989-11-06","1","Bottom Water","1","2","0.08","0.76","0.29","0.015","0.37","67","4.6","90","2.9","8.3","24.3","32.8"
"Junk Bay","JM3","1989-12-08","1","Surface Water","4","1.5","0.04","1.26","0.11","0.013","0.27","95","7.1","2200","4.8","8.7","20.3","31.4"
"Junk Bay","JM3","1989-12-08","1","Middle Water","3.3","4","0.09","1.26","0.1","0.013","0.26","78","5.9","1300","4.8","8.7","20.3","31.4"
"Junk Bay","JM3","1989-12-08","1","Bottom Water","2.5","3.5","0.07","1.06","0.14","0.02","0.26","66","5","820","4","8.5","20.3","31.6"
"Junk Bay","JM3","1990-01-05","1","Surface Water","1.1","2.5","0.07","0.77","0.28","0.044","0.41","66","5.7","10","3.2","8.1","17.7","31.1"
"Junk Bay","JM3","1990-01-05","1","Middle Water","0.9","1","0.07","0.9","0.22","0.037","0.34","68","5.8","70","3.8","8.1","17.8","31.5"
"Junk Bay","JM3","1990-01-05","1","Bottom Water","0.8","2","0.06","0.99","0.27","0.034","0.4","68","5.9","10","3.5","8.2","17.8","31.6"
"Junk Bay","JM3","1990-02-05","1","Surface Water","0.4","1","0.05","0.63","0.075","0.018","0.2","78","7.1","10","2","8.4","15.4","30.8"
"Junk Bay","JM3","1990-02-05","1","Middle Water","<0.1","0.5","0.04","0.55","0.071","0.017","0.2","74","6.8","20","1.7","8.4","15.4","31.1"
"Junk Bay","JM3","1990-02-05","1","Bottom Water","0.3","1","0.05","0.54","0.069","0.019","0.19","73","6.7","30","1.9","8.4","15.4","31.1"
"Junk Bay","JM3","1990-03-05","1","Surface Water","0.7","2","0.05","0.5","0.11","0.037","0.17","79","7.1","1","2.7","8.4","15.8","29.5"
"Junk Bay","JM3","1990-03-05","1","Middle Water","0.8","2.5","0.08","0.47","0.12","0.026","0.18","71","6.5","30","3.4","8.5","15.8","31.2"
"Junk Bay","JM3","1990-03-05","1","Bottom Water","0.7","3.5","0.07","0.41","0.11","0.023","0.17","67","6.1","390","3.7","8.6","15.7","31.2"
"Junk Bay","JM3","1990-04-02","1","Surface Water","1.7","1.5","0.05","0.92","0.26","0.028","0.42","61","5","490","2.4","8.2","19.8","32.2"
"Junk Bay","JM3","1990-04-02","1","Middle Water","1.6","1.5","0.05","0.77","0.19","0.023","0.27","63","5.2","650","1.9","8.2","19.7","32.3"
"Junk Bay","JM3","1990-04-02","1","Bottom Water","1.7","1","0.05","0.74","0.21","0.024","0.28","63","5.2","390","2.1","8.2","19.6","32.3"
"Junk Bay","JM3","1990-05-07","1","Surface Water","2.4","2","0.08","0.86","0.019","0.002","0.03","137","10.5","40","3","8.9","22.7","32.2"
"Junk Bay","JM3","1990-05-07","1","Middle Water","2.5","1","0.05","0.63","0.041","0.007","0.1","93","7.3","640","2.6","8.7","21.7","32.3"
"Junk Bay","JM3","1990-05-07","1","Bottom Water","2.6","2","0.11","0.78","0.034","0.002","0.1","89","7","540","2.8","8.7","21.7","32.3"
"Junk Bay","JM3","1990-06-04","1","Surface Water","3.1","1.5","0.1","0.8","0.057","0.003","0.29","97","7","40","3.4","8.3","25.4","31.2"
"Junk Bay","JM3","1990-06-04","1","Middle Water","0.9","8.5","0.06","0.58","0.17","0.039","0.23","85","6.2","120","3.1","8.3","25","32.3"
"Junk Bay","JM3","1990-06-04","1","Bottom Water","0.8","3.5","0.12","0.71","0.15","0.025","0.19","75","5.5","330","3.4","8.3","24.9","32.5"
"Junk Bay","JM3","1990-07-06","1","Surface Water","3.5","2","0.1","0.83","0.032","0.004","0.11","138","9.8","130","3.2","8.6","26.2","29.1"
"Junk Bay","JM3","1990-07-06","1","Middle Water","2.7","5","0.06","0.82","0.017","<0.002","0.08","58","4.3","110","3.1","8.5","23.9","32.1"
"Junk Bay","JM3","1990-07-06","1","Bottom Water","1","0.5","0.06","0.64","0.051","0.003","0.15","60","4.6","140","2.3","8.5","22.6","34.1"
"Junk Bay","JM3","1990-08-06","1","Surface Water","3.2","1.5","0.08","0.69","0.037","<0.002","0.18","143","9.7","210","2.6","8.7","28.4","29.6"
"Junk Bay","JM3","1990-08-06","1","Middle Water","2.9","2.5","0.09","0.59","0.035","<0.002","0.12","90","6.2","1100","2.5","8.5","27.3","30.8"
"Junk Bay","JM3","1990-08-06","1","Bottom Water","1.1","2","0.08","0.39","0.053","0.008","0.12","57","4","270","2.6","8.4","26.4","32.8"
"Junk Bay","JM3","1990-09-07","1","Surface Water","2.4","1","0.07","0.61","0.051","0.02","0.12","110","7.5","420","3.5","8.5","28.1","32.3"
"Junk Bay","JM3","1990-09-07","1","Middle Water","2.1","1.5","0.08","0.59","0.043","0.021","0.11","86","5.9","420","4.2","8.5","27.9","32.5"
"Junk Bay","JM3","1990-09-07","1","Bottom Water","1.2","11","0.06","0.64","0.039","0.024","0.1","70","4.8","830","12","8.4","27.6","32.6"
"Junk Bay","JM3","1990-10-08","1","Surface Water","0.7","6.5","0.08","1.25","0.026","0.031","0.08","53","3.7","400","6","8.1","27.8","29.9"
"Junk Bay","JM3","1990-10-08","1","Middle Water","0.6","6.5","0.07","1.45","0.13","0.032","0.18","58","4","530","7","8.1","27.7","31.5"
"Junk Bay","JM3","1990-10-08","1","Bottom Water","1.1","9","0.06","1","0.097","0.028","0.14","62","4.3","280","6","8.1","27.7","31.7"
"Junk Bay","JM3","1990-11-05","1","Surface Water","1.3","1.5","0.05","0.77","0.16","0.027","0.2","88","6.4","330","4.7","8.2","24.9","31.7"
"Junk Bay","JM3","1990-11-05","1","Middle Water","1.3","5","0.09","0.8","0.17","0.029","0.21","85","6.2","240","3.5","8.2","24.9","31.9"
"Junk Bay","JM3","1990-11-05","1","Bottom Water","1.2","1.5","0.03","0.85","0.18","0.026","0.22","81","5.9","260","4.3","8.2","24.9","31.9"
"Junk Bay","JM3","1990-12-06","1","Surface Water","0.9","3.5","0.1","0.49","0.22","0.043","0.27","66","5","280","2.6","8.1","19.1","32.3"
"Junk Bay","JM3","1990-12-06","1","Middle Water","0.9","4","0.11","0.47","0.22","0.038","0.27","68","5.3","490","2.8","8.1","18.9","32.4"
"Junk Bay","JM3","1990-12-06","1","Bottom Water","0.8","5","0.06","0.44","0.22","0.038","0.27","73","5.6","220","2.9","8.1","18.7","32.4"
"Junk Bay","JM3","1991-01-07","1","Surface Water","0.6","7.5","0.07","0.57","0.17","0.03","0.22","75","5.9","30","3.9","8.2","17.6","32.4"
"Junk Bay","JM3","1991-01-07","1","Middle Water","0.6","13","0.07","0.6","0.16","0.029","0.22","76","6","10","4.9","8.2","17.6","32.4"
"Junk Bay","JM3","1991-01-07","1","Bottom Water","0.6","8","0.07","0.63","0.19","0.031","0.26","78","6.1","30","4.8","8.2","17.6","32.4"
"Junk Bay","JM3","1991-02-08","1","Surface Water","2.5","3","0.07","0.83","0.24","0.048","0.35","76","6.5","9","1.9","8.1","17.7","32.1"
"Junk Bay","JM3","1991-02-08","1","Middle Water","1.5","4.5","0.07","0.78","0.25","0.049","0.35","73","6.3","21","1.9","8.1","17.7","32.1"
"Junk Bay","JM3","1991-02-08","1","Bottom Water","1.3","2.5","0.07","0.93","0.25","0.054","0.39","73","6.3","27","1.5","8.1","17.7","32.1"
"Junk Bay","JM3","1991-03-05","1","Surface Water","0.5","1.5","0.06","1.81","0.23","0.048","0.34","79","6.4","200","3.1","8","16.1","31.6"
"Junk Bay","JM3","1991-03-05","1","Middle Water","0.6","6","0.06","1.82","0.24","0.051","0.36","81","6.5","160","2.8","8","15.9","31.6"
