"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Suspended Solids (mg/L)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Ammonia Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","Total Inorganic Nitrogen (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Turbidity (NTU)","pH","Temperature (°C)","Salinity (psu)"
"Junk Bay","JM3","1986-01-16","1","Surface Water","N/A","N/A","N/A","N/A","N/A","N/A","N/A","73","N/A","80","1.6","N/A","16.5","32.8"
"Junk Bay","JM3","1986-01-16","1","Middle Water","1.3","43","0.06","N/A","N/A","N/A","N/A","74","N/A","70","1.3","8.1","16.5","32.9"
"Junk Bay","JM3","1986-01-16","1","Bottom Water","N/A","N/A","N/A","N/A","N/A","N/A","N/A","82","N/A","250","1.5","N/A","16.2","32.9"
"Junk Bay","JM3","1986-07-07","1","Surface Water","3.4","5","0.06","0.72","0.16","<0.01","0.22","136","9.2","130","4.8","8.5","27.1","24.7"
"Junk Bay","JM3","1986-07-07","1","Middle Water","0.7","3.5","0.06","0.72","0.006","0.01","0.08","56","4","N/A","2.5","8.2","22.5","32.3"
"Junk Bay","JM3","1986-07-07","1","Bottom Water","0.3","2","0.05","1.67","N/A","0.01","N/A","60","4.4","130","2.3","8.2","22.2","33.7"
"Junk Bay","JM3","1986-08-04","1","Surface Water","1.5","1.5","0.04","0.56","0.119","<0.01","0.16","134","9.1","<1","2","8.3","29","30.2"
"Junk Bay","JM3","1986-08-04","1","Middle Water","1.4","2","0.04","0.65","0.13","0.01","0.17","126","8.5","N/A","3.2","8.3","28.4","30.3"
"Junk Bay","JM3","1986-08-04","1","Bottom Water","1.3","1.5","0.04","0.53","0.037","<0.01","0.05","58","4.3","27","1.6","8.3","24.3","30.6"
"Junk Bay","JM3","1986-09-01","1","Surface Water","0.4","2","0.04","0.79","0.309","0.01","0.37","91","5.8","2","1.6","8","29.6","31.6"
"Junk Bay","JM3","1986-09-01","1","Middle Water","1.2","1.5","0.06","2.04","0.25","<0.01","0.29","48","3.1","N/A","1.6","8","28.9","32.2"
"Junk Bay","JM3","1986-09-01","1","Bottom Water","0.5","0.5","0.05","0.74","0.22","0.039","0.27","50","3.2","730","2.4","7.9","28.5","32.5"
"Junk Bay","JM3","1986-10-10","1","Surface Water","1.7","3","0.08","0.56","0.38","0.08","0.45","47","3.1","1300","5.9","8.1","27","32.8"
"Junk Bay","JM3","1986-10-10","1","Middle Water","1.9","4.5","0.07","0.7","0.33","0.06","0.4","50","3.3","N/A","7","8.1","26.9","32.9"
"Junk Bay","JM3","1986-10-10","1","Bottom Water","1.7","2.5","0.08","0.58","0.3","0.039","0.36","54","3.6","1200","9.1","8.1","26.8","32.8"
"Junk Bay","JM3","1986-10-11","1","Surface Water","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1300","N/A","N/A","N/A","N/A"
"Junk Bay","JM3","1986-11-10","1","Surface Water","0.6","2.5","0.04","0.44","0.11","0.02","0.16","87","6.1","2","4.1","8.3","23.1","33.6"
"Junk Bay","JM3","1986-11-10","1","Middle Water","0.7","4","0.04","0.39","0.1","0.02","0.15","85","6","N/A","5.1","8.3","23.1","33.6"
"Junk Bay","JM3","1986-11-10","1","Bottom Water","0.9","6","0.04","0.34","0.1","0.039","0.16","83","5.9","13","6.9","8.3","23","33.5"
"Junk Bay","JM3","1986-12-08","1","Surface Water","0.6","1","0.08","0.72","0.11","0.029","0.24","77","5.9","1400","3.1","8.1","19.2","31.8"
"Junk Bay","JM3","1986-12-08","1","Middle Water","0.4","2","0.07","0.45","0.119","0.029","0.25","77","5.9","N/A","3.4","8.1","19.2","31.7"
"Junk Bay","JM3","1986-12-08","1","Bottom Water","0.4","5","0.06","0.46","0.13","0.039","0.26","77","5.9","1100","3.7","8.1","19.2","31.8"
"Junk Bay","JM3","1987-01-09","1","Surface Water","0.9","2","0.03","0.6","0.11","0.02","0.24","103","8","10","2","8.2","18.1","31.5"
"Junk Bay","JM3","1987-01-09","1","Middle Water","1.1","5.5","0.1","0.78","0.139","0.029","0.29","100","7.8","N/A","1.5","8.2","18","31.5"
"Junk Bay","JM3","1987-01-09","1","Bottom Water","1","4.5","0.05","0.76","0.16","0.029","0.33","92","7.2","100","2.2","8.1","17.9","31.5"
"Junk Bay","JM3","1987-02-09","1","Surface Water","1.1","0.5","0.09","0.35","0.16","0.01","0.26","92","7.4","67","1.4","8.1","17","32.2"
"Junk Bay","JM3","1987-02-09","1","Middle Water","1","2.5","0.06","0.37","0.149","<0.01","0.23","91","7.3","N/A","1.5","8.1","17.1","32.2"
"Junk Bay","JM3","1987-02-09","1","Bottom Water","1.2","1.5","0.14","0.43","0.11","<0.01","0.19","91","7.3","29","1.4","8.2","17.1","32.4"
"Junk Bay","JM3","1987-03-09","1","Surface Water","0.5","4.5","0.12","0.5","0.399","0.06","0.48","70","5.3","5","1.7","7.7","20","32.8"
"Junk Bay","JM3","1987-03-09","1","Middle Water","0.6","7","0.12","0.37","0.309","0.06","0.36","67","5.1","N/A","1.6","7.8","19.4","33"
"Junk Bay","JM3","1987-03-09","1","Bottom Water","0.4","4.5","0.07","0.33","0.259","0.05","0.31","72","5.5","230","1.8","7.8","19.3","33.3"
"Junk Bay","JM3","1987-04-02","1","Surface Water","0.8","6","0.05","0.4","0.21","0.02","0.25","79","5.9","200","3.6","8","20.2","32.8"
"Junk Bay","JM3","1987-04-02","1","Middle Water","0.8","6","0.05","0.37","0.22","0.029","0.31","77","5.8","N/A","3.7","8","20.1","32.8"
"Junk Bay","JM3","1987-04-02","1","Bottom Water","0.8","9","0.07","0.41","0.179","0.029","0.23","79","6","590","3.4","8","20.1","32.8"
"Junk Bay","JM3","1987-05-08","1","Surface Water","0.6","5","0.04","0.47","0.149","0.019","0.2","81","5.9","160","1.8","8","22.8","32.7"
"Junk Bay","JM3","1987-05-08","1","Middle Water","0.8","3.5","0.04","0.47","0.21","0.02","0.26","80","5.9","N/A","1.7","8","22.8","32.8"
"Junk Bay","JM3","1987-05-08","1","Bottom Water","0.8","8","0.06","0.43","0.22","0.02","0.27","78","5.7","220","1.9","8","22.7","32.9"
"Junk Bay","JM3","1987-06-08","1","Surface Water","3.1","7","0.06","0.75","0.19","0.015","0.32","78","5.4","490","2.7","8.2","25","30.3"
"Junk Bay","JM3","1987-06-08","1","Middle Water","0.9","3","0.04","0.43","0.039","0.009","0.11","61","4.3","N/A","1.8","8","24.4","32.3"
"Junk Bay","JM3","1987-06-08","1","Bottom Water","0.6","1.5","0.04","0.28","0.048","0.015","0.12","60","4.2","730","2.3","8","24","33.3"
"Junk Bay","JM3","1987-07-10","1","Surface Water","3.4","12","0.08","0.59","0.028","<0.005","0.11","154","10.1","620","4.2","8.4","27.8","27.3"
"Junk Bay","JM3","1987-07-10","1","Middle Water","2.3","9.5","0.07","0.4","0.053","0.005","0.15","140","9.4","N/A","3.3","8.2","27.8","27.6"
"Junk Bay","JM3","1987-07-10","1","Bottom Water","1.6","5","0.05","0.66","0.071","0.009","0.17","52","3.6","980","3.4","8.1","25.6","30.1"
"Junk Bay","JM3","1987-08-07","1","Surface Water","1.5","12","0.04","0.23","0.08","0.008","0.2","101","6.8","1200","5.9","8.3","25.8","29.2"
"Junk Bay","JM3","1987-08-07","1","Middle Water","1.4","7.5","0.07","0.34","0.056","0.009","0.17","87","5.9","N/A","6.6","8.2","24.8","29.5"
"Junk Bay","JM3","1987-08-07","1","Bottom Water","1","14","0.05","0.29","0.072","0.019","0.17","70","4.8","1700","8.1","8.2","23.7","31.2"
